Source Address,Source Port,Port Name,Destination Address,Destination Port,Port Name,VPC Name
10.199.152.205,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.221.12.206,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.207.179.174,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.153.78,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.201.99.50,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.201.186.24,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.211.90.112,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.205.77.122,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.211.82.138,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.218.193.119,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.152.155,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.200.19.111,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.205.210.182,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
172.24.146.117,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.198.180.102,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.19.150,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.205.210.158,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.221.12.188,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.221.12.207,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.152.204,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.153.26,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.19.126,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.152.165,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.116.7.43,49274.0,unkown,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.207.170.111,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.208.2.124,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.198.180.56,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.153.79,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.153.36,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.221.12.197,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.205.210.149,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.153.8,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.205.77.64,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.152.124,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.205.210.150,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.199.152.122,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.198.227.112,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.201.99.37,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
10.198.181.57,123.0,Network Time Protocol,10.249.0.21,123.0,Network Time Protocol,['10.0.0.0/8']
