Time,Src Address,Src Type,Src Port,Src Name,Dst Address,Dst Type,Dst Port,Dst Name,Bytes,Packets,Action,undefined
2023-11-02T21:12:17Z,10.205.66.94,UnknownInternal,53636,,10.249.1.122,Instance,445,amaprdzcmsat,4532,16,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,80,amaprdzcmsat,10.207.88.61,UnknownInternal,55903,,1537,3,ACCEPT,
2023-11-02T21:12:17Z,10.159.53.164,UnknownInternal,59349,,10.249.1.122,Instance,445,amaprdzcmsat,1349,7,ACCEPT,
2023-11-02T21:12:17Z,10.205.128.197,UnknownInternal,57315,,10.249.1.122,Instance,445,amaprdzcmsat,7330,34,ACCEPT,
2023-11-02T21:12:17Z,10.207.88.61,UnknownInternal,64740,,10.249.1.122,Instance,80,amaprdzcmsat,340,4,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.205.128.197,UnknownInternal,57315,,6269,30,ACCEPT,
2023-11-02T21:12:17Z,10.207.88.61,UnknownInternal,55892,,10.249.1.122,Instance,80,amaprdzcmsat,340,4,ACCEPT,
2023-11-02T21:12:17Z,10.207.88.61,UnknownInternal,64738,,10.249.1.122,Instance,80,amaprdzcmsat,340,4,ACCEPT,
2023-11-02T21:12:17Z,10.207.88.61,UnknownInternal,55903,,10.249.1.122,Instance,80,amaprdzcmsat,340,4,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,80,amaprdzcmsat,10.207.88.61,UnknownInternal,64738,,1537,3,ACCEPT,
2023-11-02T21:12:17Z,10.207.88.61,UnknownInternal,55857,,10.249.1.122,Instance,80,amaprdzcmsat,340,4,ACCEPT,
2023-11-02T21:12:17Z,10.207.88.61,UnknownInternal,55806,,10.249.1.122,Instance,80,amaprdzcmsat,340,4,ACCEPT,
2023-11-02T21:12:17Z,10.164.12.27,UnknownInternal,53222,,10.249.1.122,Instance,445,amaprdzcmsat,1734,12,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.70.10.154,UnknownInternal,58072,,553,3,ACCEPT,
2023-11-02T21:12:17Z,10.0.96.121,UnknownInternal,58226,,10.249.1.122,Instance,81,amaprdzcmsat,1580,6,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.159.50.59,UnknownInternal,51215,,52,1,ACCEPT,
2023-11-02T21:12:17Z,10.141.161.162,UnknownInternal,64430,,10.249.1.122,Instance,445,amaprdzcmsat,82,2,ACCEPT,
2023-11-02T21:12:17Z,10.70.151.17,UnknownInternal,51359,,10.249.1.122,Instance,445,amaprdzcmsat,52,1,ACCEPT,
2023-11-02T21:12:17Z,10.21.146.142,UnknownInternal,63957,,10.249.1.122,Instance,445,amaprdzcmsat,5279,22,ACCEPT,
2023-11-02T21:12:17Z,10.207.88.61,UnknownInternal,55855,,10.249.1.122,Instance,80,amaprdzcmsat,340,4,ACCEPT,
2023-11-02T21:12:17Z,10.208.168.202,UnknownInternal,52172,,10.249.1.122,Instance,445,amaprdzcmsat,5047,18,ACCEPT,
2023-11-02T21:12:17Z,10.0.96.88,UnknownInternal,59748,,10.249.1.122,Instance,81,amaprdzcmsat,1999,7,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,81,amaprdzcmsat,10.0.96.88,UnknownInternal,59748,,862,5,ACCEPT,
2023-11-02T21:12:17Z,10.161.81.232,UnknownInternal,62306,,10.249.1.122,Instance,445,amaprdzcmsat,6354,28,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.208.168.202,UnknownInternal,52172,,3287,16,ACCEPT,
2023-11-02T21:12:17Z,10.159.50.59,UnknownInternal,51215,,10.249.1.122,Instance,445,amaprdzcmsat,41,1,ACCEPT,
2023-11-02T21:12:17Z,10.70.148.108,UnknownInternal,61932,,10.249.1.122,Instance,445,amaprdzcmsat,82,2,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.0.96.176,UnknownInternal,53214,,448,4,ACCEPT,
2023-11-02T21:12:17Z,10.198.177.201,UnknownInternal,49857,,10.249.1.122,Instance,445,amaprdzcmsat,82,2,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.159.52.72,UnknownInternal,52684,,41,1,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.159.53.164,UnknownInternal,59349,,848,4,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.70.151.17,UnknownInternal,51359,,41,1,ACCEPT,
2023-11-02T21:12:17Z,10.205.93.57,UnknownInternal,57674,,10.249.1.122,Instance,445,amaprdzcmsat,6680,40,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.159.64.2,UnknownInternal,57104,,41,1,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,80,amaprdzcmsat,10.207.88.61,UnknownInternal,55857,,1537,3,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,80,amaprdzcmsat,10.207.88.61,UnknownInternal,55855,,1577,4,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,80,amaprdzcmsat,10.207.88.61,UnknownInternal,55892,,1537,3,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.0.96.181,UnknownInternal,51004,,10363,53,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.161.81.232,UnknownInternal,62306,,4937,26,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,81,amaprdzcmsat,10.0.96.68,UnknownInternal,50139,,862,5,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.0.96.179,UnknownInternal,64363,,104,2,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.0.96.131,UnknownInternal,56719,,41,1,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.205.93.57,UnknownInternal,57674,,7168,38,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.70.131.122,UnknownInternal,52568,,52,1,ACCEPT,
2023-11-02T21:12:17Z,10.0.96.72,UnknownInternal,61957,,10.249.1.122,Instance,445,amaprdzcmsat,41,1,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.0.96.180,UnknownInternal,57905,,104,2,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,80,amaprdzcmsat,10.207.88.61,UnknownInternal,55757,,298,2,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.74.67.138,UnknownInternal,49894,,664,6,ACCEPT,
2023-11-02T21:12:17Z,10.70.131.122,UnknownInternal,52568,,10.249.1.122,Instance,445,amaprdzcmsat,41,1,ACCEPT,
2023-11-02T21:12:17Z,10.205.64.207,UnknownInternal,55934,,10.249.1.122,Instance,445,amaprdzcmsat,700,8,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.164.56.106,UnknownInternal,56525,,616,5,ACCEPT,
2023-11-02T21:12:17Z,10.205.208.118,UnknownInternal,49836,,10.249.1.122,Instance,445,amaprdzcmsat,477,6,ACCEPT,
2023-11-02T21:12:17Z,10.205.66.177,UnknownInternal,59965,,10.249.1.122,Instance,445,amaprdzcmsat,254,4,ACCEPT,
2023-11-02T21:12:17Z,10.159.52.72,UnknownInternal,52684,,10.249.1.122,Instance,445,amaprdzcmsat,52,1,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,80,amaprdzcmsat,10.207.88.61,UnknownInternal,64718,,1577,4,ACCEPT,
2023-11-02T21:12:17Z,10.0.96.176,UnknownInternal,53214,,10.249.1.122,Instance,445,amaprdzcmsat,528,6,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.205.208.118,UnknownInternal,49836,,444,4,ACCEPT,
2023-11-02T21:12:17Z,10.0.96.131,UnknownInternal,56719,,10.249.1.122,Instance,445,amaprdzcmsat,52,1,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.159.51.22,UnknownInternal,59564,,12826,65,ACCEPT,
2023-11-02T21:12:17Z,10.159.51.22,UnknownInternal,59564,,10.249.1.122,Instance,445,amaprdzcmsat,15903,72,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.70.23.238,UnknownInternal,64604,,41,1,ACCEPT,
2023-11-02T21:12:17Z,10.249.1.122,Instance,445,amaprdzcmsat,10.205.66.94,UnknownInternal,53636,,2751,15,ACCEPT,
2023-11-02T21:10:41Z,10.249.0.167,Instance,,amaprdlls01a,172.31.28.65,UnknownInternal,,,60,1,ACCEPT,
2023-11-02T21:10:41Z,172.31.28.65,UnknownInternal,,,10.249.0.167,Instance,,amaprdlls01a,60,1,ACCEPT,
2023-11-02T21:11:57Z,10.249.2.60,Instance,,amatestsql1b,172.31.28.19,UnknownInternal,,,60,1,ACCEPT,
2023-11-02T21:11:57Z,10.249.2.60,Instance,59090,amatestsql1b,172.31.28.19,UnknownInternal,28001,,152,3,ACCEPT,
2023-11-02T21:12:48Z,10.205.210.151,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.205.77.112,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.205.77.84,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.198.99.159,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.198.180.60,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.205.131.131,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.221.12.177,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.208.66.134,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.152.158,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.210.178.113,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.152.201,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.201.99.82,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.153.66,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.199.153.89,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.198.180.235,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.153.85,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.152.196,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.198.180.45,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.141.202.177,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.221.12.207,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.208.66.155,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.205.210.175,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.201.99.28,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.198.180.79,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.221.12.183,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.208.2.116,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.198.181.173,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.199.152.144,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.199.153.92,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.221.12.226,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.208.170.115,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.218.193.121,UnknownInternal,123,,76,1,ACCEPT,
